Name,Population,Population II,Male Population,Drive to Work - Solo Driver,Public Transportation,Work from Home,Zipcode
ZCTA5 29564,765,,,228,3,0,29564
ZCTA5 29624,16094,,,4696,1,150,29624
ZCTA5 29627,19301,,,6528,10,161,29627
ZCTA5 29650,34886,,,14613,0,994,29650
ZCTA5 29653,4682,,,1762,0,32,29653
ZCTA5 29655,6915,,,2257,0,74,29655
ZCTA5 29684,3915,,,1416,0,20,29684
ZCTA5 29702,9978,,,3117,0,56,29702
ZCTA5 29590,3288,,,673,20,0,29590
ZCTA5 29560,13292,,,4695,16,137,29560
ZCTA5 29567,534,,,169,0,5,29567
ZCTA5 29574,11446,,,3706,47,71,29574
ZCTA5 29582,16548,,,5624,18,509,29582
ZCTA5 29625,28813,,,11831,0,351,29625
ZCTA5 29635,1225,,,256,0,81,29635
ZCTA5 29683,205,,,103,0,0,29683
ZCTA5 29686,935,,,289,0,0,29686
ZCTA5 29697,13430,,,4585,0,220,29697
ZCTA5 29001,2029,,,373,0,18,29001
ZCTA5 29481,1603,,,431,0,7,29481
ZCTA5 29512,18182,,,4984,37,153,29512
ZCTA5 29550,31952,,,10912,30,230,29550
ZCTA5 29579,40272,,,15931,1,1396,29579
ZCTA5 29584,2365,,,933,0,0,29584
ZCTA5 29591,5350,,,1727,2,20,29591
ZCTA5 29532,20775,,,6678,62,218,29532
ZCTA5 29540,5383,,,1464,0,36,29540
ZCTA5 29545,1444,,,455,0,0,29545
ZCTA5 29546,2965,,,756,0,13,29546
ZCTA5 29554,8582,,,2873,31,13,29554
ZCTA5 29555,5824,,,1787,0,173,29555
ZCTA5 29556,12089,,,3810,62,166,29556
ZCTA5 29566,17603,,,6958,0,359,29566
ZCTA5 29572,9395,,,3625,0,251,29572
ZCTA5 29576,31037,,,10736,0,764,29576
ZCTA5 29583,4985,,,1727,0,65,29583
ZCTA5 29596,2170,,,881,0,24,29596
ZCTA5 29605,37130,,,13188,150,529,29605
ZCTA5 29609,29191,,,11200,30,824,29609
ZCTA5 29611,30274,,,9238,143,206,29611
ZCTA5 29628,2505,,,730,0,4,29628
ZCTA5 29645,9643,,,3786,12,113,29645
ZCTA5 29659,89,,,30,0,1,29659
ZCTA5 29665,140,,,76,0,0,29665
ZCTA5 29672,12153,,,3987,39,235,29672
ZCTA5 29685,1704,,,561,0,31,29685
ZCTA5 29691,11113,,,3497,0,71,29691
ZCTA5 29704,3693,,,1466,0,11,29704
ZCTA5 29849,518,,,115,15,1,29849
ZCTA5 29743,861,,,365,0,0,29743
ZCTA5 29829,11879,,,4284,14,85,29829
ZCTA5 29847,5506,,,1581,0,8,29847
ZCTA5 29851,7328,,,2558,0,62,29851
ZCTA5 29910,41018,,,16551,2,1363,29910
