Name,Population,Population II,Male Population,Drive to Work - Solo Driver,Public Transportation,Work from Home,Median Income,Zipcode
ZCTA5 70358,757.0,,,199.0,0.0,42.0,23045.0,70358
ZCTA5 70360,29215.0,,,11114.0,27.0,645.0,30191.0,70360
ZCTA5 70363,25335.0,,,7646.0,69.0,320.0,19675.0,70363
ZCTA5 70391,217.0,,,128.0,0.0,0.0,-666666666.0,70391
ZCTA5 70403,31220.0,,,10902.0,77.0,492.0,24409.0,70403
ZCTA5 70435,17999.0,,,6956.0,15.0,314.0,31278.0,70435
ZCTA5 70437,8188.0,,,3406.0,0.0,162.0,31392.0,70437
ZCTA5 70449,3870.0,,,1346.0,0.0,0.0,27896.0,70449
ZCTA5 70513,234.0,,,159.0,0.0,0.0,48885.0,70513
ZCTA5 70514,2387.0,,,911.0,0.0,29.0,27416.0,70514
ZCTA5 70516,503.0,,,316.0,0.0,0.0,40339.0,70516
ZCTA5 70535,18448.0,,,5976.0,11.0,107.0,21309.0,70535
ZCTA5 70548,10670.0,,,2971.0,12.0,80.0,23329.0,70548
ZCTA5 70611,20699.0,,,8880.0,44.0,261.0,35381.0,70611
ZCTA5 71835,1212.0,,,492.0,18.0,0.0,20577.0,71835
ZCTA5 71865,159.0,,,38.0,0.0,1.0,21346.0,71865
ZCTA5 71901,30003.0,,,8785.0,110.0,701.0,22205.0,71901
ZCTA5 71909,15787.0,,,3261.0,0.0,359.0,28678.0,71909
ZCTA5 71923,15351.0,,,5675.0,50.0,304.0,26228.0,71923
ZCTA5 71940,1794.0,,,525.0,0.0,33.0,20874.0,71940
ZCTA5 71950,898.0,,,366.0,0.0,5.0,22721.0,71950
ZCTA5 71957,3109.0,,,1048.0,10.0,14.0,23907.0,71957
ZCTA5 71968,4067.0,,,1098.0,0.0,99.0,30116.0,71968
ZCTA5 71044,679.0,,,162.0,5.0,5.0,22500.0,71044
ZCTA5 71046,1135.0,,,302.0,0.0,32.0,23041.0,71046
ZCTA5 71007,773.0,,,296.0,0.0,23.0,28207.0,71007
ZCTA5 71019,8177.0,,,2457.0,15.0,45.0,18536.0,71019
ZCTA5 71023,3422.0,,,1153.0,0.0,83.0,22860.0,71023
ZCTA5 71049,3503.0,,,1047.0,0.0,40.0,26971.0,71049
ZCTA5 71060,2389.0,,,934.0,0.0,1.0,28942.0,71060
ZCTA5 71072,1367.0,,,474.0,0.0,20.0,19432.0,71072
ZCTA5 71119,11087.0,,,4329.0,56.0,127.0,28841.0,71119
ZCTA5 71004,672.0,,,205.0,0.0,29.0,24792.0,71004
ZCTA5 71031,1033.0,,,350.0,0.0,3.0,19632.0,71031
ZCTA5 71034,342.0,,,114.0,0.0,9.0,31190.0,71034
ZCTA5 71039,1350.0,,,447.0,2.0,4.0,20066.0,71039
ZCTA5 71055,19556.0,,,6580.0,17.0,213.0,17966.0,71055
ZCTA5 71247,984.0,,,237.0,0.0,9.0,18438.0,71247
ZCTA5 71220,22023.0,,,7194.0,7.0,76.0,21108.0,71220
ZCTA5 71229,1412.0,,,339.0,0.0,0.0,21402.0,71229
ZCTA5 71237,1950.0,,,399.0,0.0,0.0,14224.0,71237
ZCTA5 71269,12706.0,,,3899.0,13.0,22.0,19175.0,71269
ZCTA5 71270,31045.0,,,11781.0,0.0,344.0,22006.0,71270
ZCTA5 71333,580.0,,,113.0,5.0,1.0,14458.0,71333
ZCTA5 71357,1991.0,,,414.0,0.0,5.0,16554.0,71357
ZCTA5 71406,139.0,,,38.0,0.0,0.0,-666666666.0,71406
ZCTA5 71423,4335.0,,,1359.0,0.0,38.0,30539.0,71423
ZCTA5 71432,1436.0,,,439.0,0.0,21.0,22278.0,71432
ZCTA5 71435,3555.0,,,1100.0,0.0,16.0,22317.0,71435
ZCTA5 71438,2085.0,,,801.0,0.0,36.0,27065.0,71438
ZCTA5 71439,1818.0,,,699.0,0.0,20.0,25496.0,71439
ZCTA5 71466,660.0,,,251.0,0.0,16.0,35691.0,71466
ZCTA5 71480,1404.0,,,200.0,10.0,14.0,27542.0,71480
ZCTA5 71104,14479.0,,,6296.0,114.0,144.0,25046.0,71104
ZCTA5 71067,3461.0,,,1106.0,0.0,30.0,24431.0,71067
ZCTA5 71071,2578.0,,,936.0,0.0,44.0,20217.0,71071
ZCTA5 71101,6694.0,,,1733.0,94.0,50.0,13778.0,71101
ZCTA5 71105,21353.0,,,10193.0,54.0,282.0,35629.0,71105
ZCTA5 71219,1364.0,,,594.0,0.0,4.0,25324.0,71219
ZCTA5 71253,200.0,,,47.0,0.0,2.0,21667.0,71253
ZCTA5 71263,8095.0,,,2182.0,0.0,54.0,21209.0,71263
ZCTA5 71291,31795.0,,,12814.0,30.0,332.0,30546.0,71291
ZCTA5 71303,21809.0,,,8340.0,70.0,229.0,34237.0,71303
ZCTA5 71322,6089.0,,,1376.0,0.0,155.0,19595.0,71322
ZCTA5 71334,10390.0,,,2943.0,0.0,47.0,19601.0,71334
ZCTA5 71340,1875.0,,,213.0,0.0,0.0,22500.0,71340
ZCTA5 71346,2689.0,,,837.0,0.0,45.0,23967.0,71346
ZCTA5 71369,2624.0,,,710.0,0.0,23.0,18875.0,71369
ZCTA5 71377,115.0,,,62.0,0.0,0.0,6439.0,71377
ZCTA5 71409,5396.0,,,1737.0,0.0,57.0,23912.0,71409
ZCTA5 71411,3184.0,,,881.0,0.0,24.0,20088.0,71411
ZCTA5 71457,27353.0,,,7111.0,85.0,104.0,18472.0,71457
ZCTA5 71468,852.0,,,184.0,0.0,0.0,17436.0,71468
ZCTA5 71473,423.0,,,141.0,0.0,3.0,25880.0,71473
ZCTA5 71479,684.0,,,222.0,0.0,6.0,28258.0,71479
ZCTA5 71630,495.0,,,139.0,0.0,3.0,22500.0,71630
ZCTA5 71029,156.0,,,64.0,0.0,0.0,22500.0,71029
ZCTA5 71032,2273.0,,,813.0,13.0,13.0,29364.0,71032
ZCTA5 71040,9177.0,,,2309.0,0.0,67.0,15619.0,71040
ZCTA5 71047,11692.0,,,4226.0,14.0,210.0,27171.0,71047
ZCTA5 71064,3459.0,,,1095.0,0.0,0.0,17863.0,71064
ZCTA5 71065,1342.0,,,268.0,2.0,4.0,16188.0,71065
ZCTA5 71030,1699.0,,,694.0,0.0,0.0,40948.0,71030
ZCTA5 71260,2877.0,,,862.0,0.0,18.0,28168.0,71260
ZCTA5 71201,20760.0,,,8034.0,112.0,193.0,30418.0,71201
ZCTA5 71203,39100.0,,,13497.0,116.0,592.0,25808.0,71203
ZCTA5 71259,1499.0,,,496.0,17.0,19.0,25482.0,71259
ZCTA5 71958,2459.0,,,739.0,19.0,4.0,21049.0,71958
ZCTA5 71959,427.0,,,140.0,0.0,6.0,23056.0,71959
